Name_domain,Product_name,Region,Country,Average_rating,Number_of_rates,Price,Type
Château La Commanderie de Gombeau,Bordeaux 2018,Bordeaux,France,3.8,425,6.0,Red
Château des Graves,Bordeaux Supérieur 2018,Bordeaux Supérieur,France,3.5,264,6.0,Red
Domaine de Tara,Terre d'Ocres Blanc 2010,Ventoux,France,3.8,89,6.1,White
Raoul Mapoul,Rouge 2021,Pays d'Oc,France,3.8,68,6.1,Red
Château des Léotins,Bordeaux Rouge 2021,Bordeaux,France,3.3,2335,6.13,Red
Château de l'Esperance,Bordeaux Rouge 2019,Bordeaux,France,3.5,53,6.13,Red
Château Franc Couplet,Bordeaux Supérieur 2018,Bordeaux Supérieur,France,3.8,84,6.18,Red
Uby,No. 6 Rosé 2022,Côtes de Gascogne,France,3.7,71,6.2,Rose
Semper,Squerda Côtes du Roussillon Villages 'Lesquerde' 2022,Côtes du Roussillon Villages,France,3.7,276,6.2,Red
Château Roquefort,Bordeaux Blanc 2018,Bordeaux,France,3.8,38,6.21,White
La Belle Angèle,Merlot 2020,Vin de France,France,3.4,735,6.25,Red
Orélie,Blanc 2022,Ardèche,France,3.5,317,6.25,White
La Belle Angèle,Syrah 2021,Vin de Pays,France,3.3,1150,6.25,Red
Domaine des Pasquiers,Vaucluse 2019,Vaucluse,France,3.7,61,6.25,Red
Les Vignerons de Buzet,Tradition Rouge 2017,Buzet,France,3.2,209,6.25,Red
Duchesse de Berry,Cuvée Prestige Bordeaux Blanc Sec 2020,Bordeaux,France,3.5,44,6.26,White
Château du Juge,Bordeaux Supérieur Rouge 2018,Bordeaux,France,3.3,77,6.3,Red
Marrenon,Private Gallery Chardonnay - Viognier 2017,Méditerranée,France,3.5,151,6.32,White
Malpertuis,Cuvée Prestige Bordeaux Clairet 2020,Bordeaux Clairet,France,3.2,31,6.33,Rose
Château des Léotins,Entre-deux-Mers 2022,Entre-deux-Mers,France,3.6,436,6.35,White
Domaine Deshenrys,Syrah - Merlot 2022,Languedoc-Roussillon,France,3.3,287,6.37,Red
Domaine Deshenrys,Sauvignon - Chardonnay 2022,Côtes de Thongue,France,3.4,117,6.37,White
Chateau Lamothe Castera,Bordeaux 2019,Bordeaux,France,3.2,83,6.42,Red
Château Talmont,Bordeaux Rouge 2021,Bordeaux,France,3.5,733,6.44,Red
Georges Vigouroux,Pigmentum Ugni Blanc - Colombard 2015,South West France,France,3.7,66,6.44,White
Bel-Air,Bordeaux 2021,Bordeaux,France,3.6,74,6.44,Red
Château de Beaulieu,Le Galapian 2012,Côtes du Marmandais,France,3.6,66,6.45,Red
Dourthe,Beau Mayne Sauvignon Blanc Bordeaux 2014,Bordeaux,France,3.0,75,6.48,White
Foncalieu,Les Cardounettes Blanc 2018,Pays d'Oc,France,3.3,85,6.48,White
Château Vari,Bergerac Sec 2016,Bergerac Sec,France,3.5,172,6.5,White
Domaine du Tariquet,Côtes De Gascogne Classic 2022,Côtes de Gascogne,France,3.6,147,6.5,White
Marrenon,Roséfine 2022,Méditerranée,France,3.6,518,6.5,Rose
Maison Le Jeune,Le Coq & L'Arlequin 2019,Pays d'Oc,France,4.1,70,6.5,Rose
Maison Le Jeune,Vendredi 2017,Aude,France,3.7,47,6.5,White
Plaimont,Saint-Mont Un Pas de Côté 2020,Saint-Mont,France,3.4,36,6.5,Red
Château du Juge,Bordeaux Supérieur Rouge 2016,Bordeaux,France,3.3,26,6.5,Red
Innowine,Cépage Libre Rouge 2022,Méditerranée,France,3.5,353,6.5,Red
Domaine du Tariquet,Côtes De Gascogne Classic 2021,Côtes de Gascogne,France,3.5,817,6.5,White
Château de l'Aubrade,Bordeaux Supérieur 2018,Bordeaux Supérieur,France,3.5,41,6.5,Red
Domaine Deshenrys,Syrah - Merlot 2020,Languedoc-Roussillon,France,3.3,287,6.5,Red
Château Fayau,Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.6,711,6.5,Red
Château Clos Renon,Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.6,526,6.5,Red
Château Mayne-Vallet,Blaye - Côtes de Bordeaux 2012,Blaye - Côtes de Bordeaux,France,3.7,283,6.5,Red
Domaine du Gueret,Beaujolais 2020,Beaujolais,France,3.4,99,6.5,Red
Premius,La Réserve Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.5,89,6.5,Red
Yvon Mau,Château La Fréneraie Bordeaux Supérieur 2016,Bordeaux Supérieur,France,3.9,424,6.5,Red
Les Passeurs de Vins,Encierro 2020,Vino de España,Spain,3.7,116,6.5,Red
Maison Le Jeune,Le Coq & L'Arlequin 2022,Pays d'Oc,France,4.1,70,6.54,Rose
Cave de Pazac,Le Pigeonnier Costières-de-Nîmes Rosé 2022,Costières-de-Nîmes,France,3.6,92,6.54,Rose
La Belle Angèle,Rosé 2022,Vin de France,France,3.5,36,6.55,Rose
Château Les Eyraux,Le Pacha Les Eyraux Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.7,35,6.58,Red
Cave La Vinsobraise,Côtes du Rhône Blanc 2022,Côtes-du-Rhône,France,3.3,94,6.6,White
Château Grand Jour,Côtes de Bourg 2020,Côtes de Bourg,France,3.6,557,6.6,Red
Château Chauvet,Bordeaux Rouge 2015,Bordeaux,France,3.5,114,6.6,Red
Villa Dria,Colombard - Sauvignon (Côtes Sauvage) 2022,Côtes de Gascogne,France,3.8,1182,6.65,White
Baracco de Baracho,Saraceno Dolcetto d'Alba 2022,Dolcetto d'Alba,Italy,2.9,58,6.68,Red
Château La Blancherie,Graves Blanc 2018,Graves,France,3.7,120,6.7,White
Alma Cersius,Les Yeux dans les étotiles Blanc 2022,Pays d'Oc,France,3.2,81,6.71,White
Oisly Thésée,Vallée des Rois Gamay Touraine 2021,Touraine,France,3.6,43,6.75,Red
Château Lamothe Belair,Bergerac 2015,Bergerac,France,3.4,126,6.75,Red
Château Roquefort,Bordeaux Blanc 2020,Bordeaux,France,3.6,573,6.75,White
Château Lajarre,Eléonore Bordeaux Supérieur 2011,Bordeaux Supérieur,France,3.3,55,6.75,Red
Chateau Lamothe Castera,Bordeaux 2020,Bordeaux,France,3.6,84,6.77,Red
Château Haut Gravelier,Bordeaux Rouge 2020,Bordeaux,France,3.5,103,6.78,Red
Malamatina,Retsina,Thessaloniki,Greece,3.2,4163,6.78,White
Yvon Mau,Revelations d'Hubert de Bouard Château Boutillot Bordeaux 2021,Bordeaux,France,3.6,1443,6.8,Red
Château Chagnon,Bordeaux Supérieur 2018,Bordeaux Supérieur,France,3.5,195,6.87,Red
Château Petit Boirac,Bordeaux 2016,Bordeaux,France,3.7,192,6.88,Red
Campagnola,Pinot Grigio 2022,Veneto,Italy,3.9,54,6.9,White
Gérard Bertrand,Autrement Syrah Rosé 2022,Pays d'Oc,France,3.5,106,6.9,Rose
Gérard Bertrand,Naturae Syrah Rosé 2022,Pays d'Oc,France,3.5,320,6.9,Rose
Château de Péna,Ninet de Péna Rouge 2022,Côtes Catalanes,France,3.5,200,6.9,Red
Château Tourril,Les Cyprès Minervois 2018,Minervois,France,3.9,27,6.9,Red
Cazes,Le Canon du Marechal Syrah - Mourvèdre Rosé 2022,Côtes Catalanes,France,3.5,469,6.9,Rose
Caleo,Primitivo Salento 2021,Salento,Italy,3.7,81,6.9,Red
É Gòt,Trebbiano - Chardonnay 2022,Rubicone,Italy,3.3,367,6.9,White
Gérard Bertrand,Autrement Cabernet Sauvignon 2021,Pays d'Oc,France,3.5,31,6.9,Red
Bruno Andreu,Tendem Rouge 2022,Pays d'Oc,France,3.5,142,6.9,Red
Gérard Bertrand,Autrement Merlot 2021,Pays d'Oc,France,3.5,66,6.9,Red
Singla,Cuve No. 5 2022,Côtes Catalanes,France,3.9,100,6.9,Red
Gérard Bertrand,Autrement Grenache Rosé 2022,Pays d'Oc,France,3.7,30,6.9,Rose
Gérard Bertrand,Naturae Syrah 2021,Pays d'Oc,France,3.7,171,6.9,Red
Terre d’Aliénor,L’Absolu Merlot 2018,Vin de France,France,3.8,26,6.9,Red
Sainte Marie des Crozes,La 4ème Corbières 2021,Corbières,France,3.8,235,6.9,Red
Beso de Vino,Syrah - Garnacha 2016,Cariñena,Spain,3.5,249,6.9,Red
É Gòt,Merlot - Sangiovese 2022,Rubicone,Italy,3.4,619,6.9,Red
Château de Péna,Ninet de Péna Blanc 2022,Côtes Catalanes,France,3.6,57,6.9,White
Cazes,Le Canon du Maréchal Muscat - Viognier 2022,Côtes Catalanes,France,3.9,81,6.9,White
Les Vignerons du Sommiérois,Rouge Tauride 2022,Pays d'Oc,France,3.6,26,6.9,Red
Gérard Bertrand,Naturae Merlot 2021,Pays d'Oc,France,3.5,139,6.9,Red
Domaine du Tariquet,Ugni Blanc - Colombard Côtes De Gascogne Classic 2021,Côtes de Gascogne,France,3.5,825,6.9,White
Gérard Bertrand,Autrement Sauvignon Blanc 2022,Pays d'Oc,France,3.3,102,6.9,White
Sainte Marie des Crozes,Le Clandestin Sauvignon 2021,Pays d'Oc,France,3.5,159,6.9,White
La Belle Angèle,Sauvignon Blanc 2022,Vin de France,France,3.5,1908,6.9,White
Domaine Les Prunelles,Grenache - Syrah Rosé 2022,Pays d'Oc,France,3.8,64,6.9,Rose
Château Maucaillou,Le Bordeaux de Maucaillou Blanc (B) 2021,Bordeaux,France,3.5,442,6.9,White
Terre de Mistral,Pauline Côtes de Provence Rosé 2022,Méditerranée,France,4.1,107,6.9,Rose
Pavillon La Croix Monsognac,Les Essentielles Cabernet Sauvignon 2017,Vin de France,France,3.8,44,6.9,Red
Les Vignerons du Sommiérois,Tiberius Rouge 2022,Pays d'Oc,France,3.2,164,6.9,Red
Domaine de La Santoline,Minervois 2019,Minervois,France,3.8,26,6.9,Red
Michel Kurtz,Pinot Blanc 2019,Vin de France,France,3.9,36,6.9,White
Gérard Bertrand,Naturae Chardonnay 2022,Pays d'Oc,France,3.4,137,6.9,White
Les Vignerons du Sommiérois,Tiberius Blanc 2022,Pays d'Oc,France,3.3,84,6.9,White
Les Vignerons du Sommiérois,Cuvée Tibérius Rosé 2022,Pays d'Oc,France,3.2,37,6.9,Rose
Château Mazetier,Bordeaux Supérieur 2012,Bordeaux Supérieur,France,3.4,55,6.92,Red
Yvon Mau,Revelations d'Hubert de Bouard Château Dorleac Graves 2018,Graves,France,3.6,106,6.95,Red
Astrale,Rosato,Vino d'Italia,Italy,4.0,6415,6.95,Rose
Dom Brial,Les Camines Blanc 2022,Côtes Catalanes,France,3.8,30,6.95,White
Dom Brial,Les Camines Rosé 2022,Côtes Catalanes,France,3.7,55,6.95,Rose
Dom Brial,Les Camines Rouge 2022,Côtes Catalanes,France,3.6,361,6.95,Red
Ladone,Rosso,Abruzzo,Italy,3.8,453,6.95,Red
Domaine de La Bastide - Vincent & Stéphanie Boyer,Côtes-du-Rhône Rouge 2022,Côtes-du-Rhône,France,3.7,1150,6.95,Red
M. Chapoutier,Les Vignes de Bila-Haut Côtes du Roussillon Blanc 2021,Côtes du Roussillon,France,3.7,62,6.99,White
M. Chapoutier,Belleruche Côtes-du-Rhône Blanc 2022,Côtes-du-Rhône,France,3.7,9961,6.99,White
Château Bellevue La Forêt,Fronton 2020,Fronton,France,3.7,94,7.0,Red
Château Meric,La Fillette du Petit Méric Médoc 2016,Médoc,France,3.8,38,7.0,Red
Château Romfort,Côtes de Bourg 2018,Côtes de Bourg,France,3.3,41,7.0,Red
Les Vignerons du Sommiérois,Cuvée Prestige Rouge 2022,Pays d'Oc,France,3.6,45,7.0,Red
Domaine Martin,Côtes du Rhône Rouge 2018,Côtes-du-Rhône,France,3.8,176,7.0,Red
M. Chapoutier,Marius Rosé d'Oc 2021,Pays d'Oc,France,3.5,134,7.0,Rose
Château Lesparre,Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.5,739,7.0,Red
Château Bellevue La Forêt,Fronton Rosé 2022,Fronton,France,3.5,263,7.0,Rose
Marquis de Saint-Peyre,Haut-Médoc 2019,Haut-Médoc,France,3.4,55,7.0,Red
Gérard Bertrand,6ème Sens Rouge 2022,Pays d'Oc,France,3.7,51,7.0,Red
Domaine de Tara,Terre d'Ocres Rouge 2010,Ventoux,France,3.5,44,7.02,Red
Marrenon,Capella 2014,Ventoux,France,3.7,32,7.02,Red
Alma Cersius,Gardian Grande Réserve Cabernet - Merlot 2021,Coteaux de Béziers,France,3.7,101,7.03,Red
Malpertuis,Bordeaux 2018,Bordeaux,France,3.2,44,7.04,Red
Gérard Bertrand,6ème Sens Rouge 2021,Pays d'Oc,France,3.5,212,7.04,Red
Boissonneau,Le Geai 5 Grapes Côtes du Marmandais 2011,Côtes du Marmandais,France,3.9,41,7.1,Red
Domaine Tropez,Crazy Rosé 2022,Côtes de Provence,France,3.8,64,7.1,Rose
Domaine Tropez,Crazy Blanc 2022,Côtes de Provence,France,3.7,398,7.1,White
Olivares,Tinto 2017,Jumilla,Spain,3.5,169,7.11,Red
Domaine Martin,Côtes du Rhône Blanc 2017,Côtes-du-Rhône,France,3.3,45,7.11,White
Domaine Piquemal,Clarisse Côtes Catalanes 2022,Côtes Catalanes,France,3.4,64,7.2,White
MAN,Chenin Blanc (Free-Run Steen) 2018,Coastal Region,South Africa,3.6,1146,7.2,White
La Belle Angèle,Chardonnay 2022,Vin de Pays,France,3.5,931,7.2,White
MAN,Chenin Blanc (Free-Run Steen) 2016,Coastal Region,South Africa,3.6,898,7.2,White
Georges Vigouroux,Pigmentum Sauvignon Blanc 2021,Buzet,France,3.4,65,7.2,White
Domaine Piquemal,Justin Côtes Catalanes 2022,Côtes Catalanes,France,3.3,98,7.2,Red
Dom Brial,Rozy 2022,Côtes Catalanes,France,3.5,308,7.2,Rose
Les Deux Oliviers,Rosé 2021,Vin de France,France,3.7,271,7.2,Rose
Château Morillon,Bordeaux Rouge 2019,Bordeaux,France,3.4,58,7.2,Red
Domaine Le Colombier,Côtes du Rhône Rouge 2020,Côtes-du-Rhône,France,3.5,119,7.2,Red
Delas,Syrah 2019,Ardèche,France,3.7,189,7.2,Red
Château Bousquet,Graves Rouge 2015,Graves,France,3.9,73,7.2,Red
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge 2022,Gard,France,3.4,934,7.2,Red
Clos del Rey,Baby del Rey 2021,Côtes du Roussillon Villages,France,3.6,44,7.25,Red
Vignerons de Tornac,Chardonnay 2022,Cevennes,France,3.6,133,7.25,White
Aurelia Visinescu,Nomad Chardonnay 2019,Dealu Mare,Romania,3.5,86,7.28,White
MAN,Chardonnay (Padstal) 2015,Coastal Region,South Africa,3.4,155,7.29,White
Les Jamelles,Merlot 2022,Pays d'Oc,France,3.5,4673,7.3,Red
Domaine des Pasquiers,Vaucluse 2020,Vaucluse,France,3.5,47,7.3,Red
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rosé 2022,Gard,France,3.4,319,7.3,Rose
Domaine du Paradis,L'Infini Rouge 2022,Côtes Catalanes,France,3.5,137,7.3,Red
Réthoré Davy,Le Chapitre Pinot Noir 2021,Loire Valley,France,3.4,516,7.3,Red
Domaine du Paradis,Viognier 2022,Côtes Catalanes,France,3.3,46,7.3,White
Domaine de Pellehaut,L'Été Gascon Blanc 2022,Côtes de Gascogne,France,4.2,107,7.3,White
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Blanc 2022,Gard,France,3.2,473,7.3,White
Leblanc - Domaine les Closserons,Andecavum Rúbéus 2020,Anjou,France,3.8,28,7.3,Red
La Belle Angèle,Pinot Noir 2022,Vin de France,France,3.5,1416,7.3,Red
Les Jamelles,Grenache Rouge 2021,Pays d'Oc,France,3.8,1083,7.3,Red
Campagnola,Soave Classico 2021,Soave Classico,Italy,3.6,41,7.35,White
Les Goubert,Côtes-du-Rhône 2017,Côtes-du-Rhône,France,3.4,165,7.38,Red
Les Jamelles,Malbec 2021,Pays d'Oc,France,3.9,100,7.4,Red
Vaja,Pinot Grigio delle Venezie 2022,delle Venezie,Italy,3.5,43,7.4,White
Domaine de Laulan,Sauvignon 2021,Côtes de Duras,France,3.8,231,7.4,White
Domaine Combe Blanche,Misunderstood Cinsault 2018,Languedoc-Roussillon,France,3.7,59,7.4,Red
Cailhol Gautran,Sinequano 2021,Minervois,France,3.6,188,7.42,Red
Colette & Léon,Beaujolais Villages Rouge 2016,Beaujolais-Villages,France,3.6,31,7.42,Red
Vinovalie,Sang Mêlé 2021,South West France,France,4.1,148,7.45,Red
Gérard Bertrand,Naturae Corbières 2021,Corbières,France,3.5,635,7.45,Red
Gérard Bertrand,Autrement Corbières 2021,Corbières,France,3.3,148,7.45,Red
Gérard Bertrand,Autrement Languedoc 2021,Languedoc,France,3.3,316,7.45,Red
Paul Jaboulet Aîné,Côtes du Ventoux Les Traverses Rouge 2021,Ventoux,France,3.6,3003,7.45,Red
Château Gravelines,Aliénor Côtes de Bordeaux Rouge 2019,Côtes de Bordeaux,France,3.6,153,7.45,Red
Vignobles Bouillac,Château Haut Perdrias Blaye-Côtes de Bordeaux 2019,Blaye - Côtes de Bordeaux,France,3.6,49,7.47,Red
Château du Haut Guérin,L'Élegance Blaye - Côtes de Bordeaux 2021,Blaye - Côtes de Bordeaux,France,3.6,61,7.48,Red
Château Roc de Minvielle,Bordeaux 2019,Bordeaux,France,3.2,224,7.49,Red
Chateau Petit Pierre,Bordeaux 2019,Bordeaux,France,3.5,30,7.49,Red
Domaine des Schistes,Illico Blanc 2022,Côtes Catalanes,France,3.6,350,7.5,White
Château du Mouret,Graves Blanc 2020,Graves,France,3.7,288,7.5,White
Château Franc-Baudron,Verso Bordeaux 2021,Bordeaux,France,3.7,146,7.5,White
M. Chapoutier,Marius Viognier 2020,Pays d'Oc,France,3.8,37,7.5,White
Vignobles Perez,L'Impertinent Bordeaux Blanc 2021,Bordeaux,France,3.8,25,7.5,White
Domaine Py,Merlot Noir 2022,Pays d'Oc,France,3.3,124,7.5,Red
Domaine de Lambisque,Côtes du Rhône Les Vignes Sauvages 2019,Côtes-du-Rhône,France,3.9,49,7.5,Red
Amouriers,Suzanne Rouge 2021,Vaucluse,France,3.3,323,7.5,Red
Castillo de Borgia,Garnacha 2020,Campo de Borja,Spain,3.6,53,7.5,Red
Domaine Escaravatiers,Rouge 2021,Var,France,3.4,51,7.5,Red
Le Clos des Suds,Bagatelle 2016,Minervois,France,3.7,25,7.5,Red
Clos d'Elle,L'Indecent Blanc 2019,Pays d'Oc,France,3.3,41,7.5,White
Domaine de Pellehaut,Harmonie de Gascogne Rouge 2021,Côtes de Gascogne,France,3.8,270,7.5,Red
Yvon Mau,Best Bordeaux Quality 2015,Bordeaux,France,3.1,135,7.5,Red
Domaine de Gournier,Demain...! Syrah 2020,Vin de Pays,France,3.8,50,7.5,Red
Domaine Escaravatiers,Blanc 2022,Var,France,3.7,45,7.5,White
Domaine Chiroulet,Terres Blanches Côtes de Gascogne 2021,Côtes de Gascogne,France,3.6,52,7.5,White
Domaine Piquemal,Elise Côtes Catalanes 2022,Côtes Catalanes,France,3.7,55,7.5,White
Joseph Cattin,Riesling 2020,Alsace,France,3.6,44,7.5,White
Pittacum,Petit Pittacum 2021,Bierzo,Spain,3.7,264,7.5,Red
Marrenon,Classique Luberon 2019,Luberon,France,3.7,94,7.5,Red
La Vieille Ferme,Rouge 2020,Vin de France,France,3.5,1086,7.5,Red
Château Vieille Tour,Cuvée Tradition Le Rouge 2021,Côtes de Bordeaux,France,3.6,31,7.5,Red
Domaine Montmartel,Côtes-du-Rhône Rouge 2021,Côtes-du-Rhône,France,3.9,54,7.5,Red
Famille Cros Pujol,Zangre Rouge 2021,Pays d'Oc,France,3.4,129,7.5,Red
Aurelia Visinescu,Nomad Feteasca Neagra 2018,Dealu Mare,Romania,3.6,66,7.5,Red
Château de la Cour d'Argent,Bordeaux Supérieur 2014,Bordeaux Supérieur,France,3.5,158,7.5,Red
Château de la Haute Libarde,Côtes de Bourg Rouge 2019,Côtes de Bourg,France,3.5,42,7.5,Red
Château Les Palais,Rouge 2022,Aude,France,4.0,27,7.5,Red
